pin,primary_function,selected_function,final_net,electrical_type,supply_domain,default_pull,test_point,source_evidence
1,CVBS1,CVBS1,AMT_CVBS1,bidirectional,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
2,CVBS2,CVBS2,TP_CVBS2,bidirectional,analog-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
3,CVBS3,CVBS3,TP_CVBS3,bidirectional,analog-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
4,VCOM_ADC,VCOM_ADC,AMT_VCOM,bidirectional,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
5,AVSS_ADC,AVSS_ADC,GND,power,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
6,P0.3/REMOTE,P0.3/REMOTE,TP_AMT_P6,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
7,SAR2,SAR2,TP_AMT_P7,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
8,SAR1,SAR1,TP_AMT_P8,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
9,SAR0,SAR0,TP_AMT_P9,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
10,DVDD,DVDD,DISPLAY_3V3_D,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
11,VDD_CORE_OUT,VDD_CORE_OUT,AMT_CORE1,power,core-1v2-output,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
12,GND,GND,GND,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
13,AGND,AGND,GND,power,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
14,XTAL_OUT,XTAL_OUT,AMT_XTAL_OUT,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
15,XTAL_IN,XTAL_IN,AMT_XTAL_IN,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
16,AVDD,AVDD,DISPLAY_3V3_A,power,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
17,SPI_CS,SPI_CS,AMT_FLASH_CS,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
18,SPI_SI,SPI_SI,AMT_FLASH_MOSI,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
19,SPI_SO,SPI_SO,AMT_FLASH_MISO,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
20,SPI_CLK,SPI_CLK,AMT_FLASH_CLK,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
21,DVDD,DVDD,DISPLAY_3V3_D,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
22,VDD_CORE_OUT,VDD_CORE_OUT,AMT_CORE2,power,core-1v2-output,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
23,GND,GND,GND,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
24,R0,R0,LCD_R0,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
25,R1,R1,LCD_R1,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
26,R2,R2,LCD_R2,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
27,R3,R3,LCD_R3,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
28,R4,R4,LCD_R4,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
29,R5,R5,LCD_R5,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
30,R6,R6,LCD_R6,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
