Designator,Mid X,Mid Y,Layer,Rotation
U1,14.000mm,14.000mm,Top,0.0
J2,52.000mm,5.400mm,Top,90.0
ESD1,57.000mm,12.000mm,Top,0.0
F1,45.000mm,5.000mm,Top,0.0
TVS1,45.000mm,8.000mm,Top,0.0
U2,15.000mm,49.000mm,Top,0.0
U3,3.000mm,49.000mm,Top,0.0
Q1,6.000mm,52.000mm,Top,0.0
U4,23.000mm,49.000mm,Top,0.0
U20,29.000mm,50.000mm,Top,0.0
U5,38.000mm,50.000mm,Top,0.0
U6,50.000mm,50.000mm,Top,0.0
U7,59.000mm,52.000mm,Top,0.0
U8,68.000mm,52.000mm,Top,0.0
U9,74.000mm,52.000mm,Top,0.0
U10,81.000mm,50.000mm,Top,0.0
MOD1,16.000mm,33.000mm,Bottom,180.0
U11,31.000mm,32.000mm,Top,0.0
U12,25.000mm,20.000mm,Top,0.0
U13,31.000mm,21.000mm,Top,0.0
U14,46.000mm,30.000mm,Top,0.0
U15,45.000mm,15.000mm,Top,0.0
U16,52.000mm,15.000mm,Top,0.0
J1,67.500mm,30.000mm,Top,0.0
U17,80.000mm,32.000mm,Top,0.0
U18,68.000mm,11.000mm,Top,0.0
U19,76.000mm,11.000mm,Top,0.0
BZ1,85.000mm,7.000mm,Top,0.0
Q2,79.000mm,5.000mm,Bottom,180.0
D2,79.000mm,9.000mm,Bottom,180.0
U21,78.000mm,18.000mm,Bottom,180.0
J4,82.500mm,18.000mm,Top,0.0
U22,22.000mm,8.000mm,Bottom,180.0
J12,32.000mm,8.500mm,Top,0.0
ESD2,41.000mm,7.000mm,Top,0.0
ESD3,41.000mm,9.500mm,Top,0.0
ESD4,73.000mm,55.000mm,Top,0.0
R1,45.100mm,2.000mm,Bottom,180.0
R2,45.950mm,3.000mm,Bottom,180.0
R3,46.300mm,5.500mm,Bottom,180.0
R4,26.000mm,43.000mm,Top,0.0
R5,47.650mm,6.500mm,Bottom,180.0
R6,79.500mm,3.500mm,Top,0.0
R7,79.700mm,6.000mm,Top,0.0
R8,74.000mm,20.000mm,Bottom,180.0
R9,76.500mm,37.000mm,Top,0.0
R10,36.000mm,23.500mm,Top,0.0
R11,36.000mm,25.200mm,Top,0.0
R12,33.500mm,23.900mm,Top,0.0
R13,39.000mm,25.000mm,Bottom,180.0
R14,64.000mm,16.000mm,Top,0.0
R15,66.000mm,16.000mm,Top,0.0
R16,75.500mm,22.500mm,Bottom,180.0
R18,34.000mm,18.000mm,Top,0.0
R20,44.000mm,41.000mm,Top,0.0
R21,44.000mm,40.000mm,Top,0.0
R22,33.500mm,44.500mm,Top,0.0
R23,33.500mm,45.500mm,Top,0.0
R24,46.000mm,39.500mm,Top,0.0
R25,23.500mm,24.500mm,Top,0.0
R26,29.000mm,23.000mm,Top,0.0
R27,24.500mm,25.500mm,Top,0.0
R28,56.500mm,1.500mm,Bottom,180.0
R29,56.850mm,2.500mm,Bottom,180.0
R30,41.500mm,3.500mm,Top,0.0
R31,46.600mm,3.000mm,Top,0.0
R32,43.000mm,6.600mm,Top,0.0
R33,45.100mm,6.600mm,Top,0.0
R34,43.000mm,9.200mm,Top,0.0
R35,45.100mm,9.200mm,Top,0.0
R36,24.500mm,3.500mm,Bottom,180.0
R37,29.000mm,4.000mm,Bottom,180.0
R38,30.000mm,5.000mm,Bottom,180.0
R39,32.500mm,4.500mm,Bottom,180.0
R40,59.200mm,2.000mm,Bottom,180.0
R41,61.550mm,2.000mm,Bottom,180.0
R42,10.500mm,40.500mm,Top,0.0
R43,11.000mm,42.500mm,Top,0.0
R44,13.500mm,42.500mm,Top,0.0
R45,15.500mm,42.000mm,Top,0.0
R46,18.000mm,42.000mm,Top,0.0
R47,7.500mm,45.700mm,Top,0.0
R48,28.700mm,43.500mm,Top,0.0
R49,37.000mm,40.500mm,Top,0.0
R50,71.000mm,44.000mm,Top,0.0
R51,48.500mm,39.500mm,Top,0.0
R52,55.500mm,42.500mm,Top,0.0
R53,35.500mm,36.600mm,Top,0.0
